SECOND_FLD,review-count
12364_26995,8.0
12364_26997,32.0
12364_26998,218.0
12364_26999,86.0
12364_27000,1574.0
12364_27001,0.0
12364_27002,0.0
12364_27003,76.0
12364_27004,1.0
12364_27006,6.0
12364_27011,0.0
12364_27012,1.0
12364_27013,55.0
12364_27014,3.0
12364_27016,0.0
12364_27018,0.0
12364_27036,0.0
12364_27045,3.0
12364_27046,22.0
12365_26942,0.0
12365_26945,17.0
12365_26960,34.0
12365_26987,13.0
12365_26988,3.0
12365_26992,96.0
12365_26993,39.0
12365_26997,8.0
12365_26998,0.0
12365_26999,474.0
12365_27000,578.0
12365_27004,0.0
12365_27010,0.0
12365_27011,1.0
12365_27014,0.0
12365_27015,1.0
12365_27016,0.0
12365_27017,1.0
12365_27018,56.0
12365_27019,0.0
12365_27020,62.0
12365_27045,11.0
12365_27052,0.0
12365_27054,65.0
12366_26956,0.0
12366_26961,3.0
12366_26989,23.0
12366_26993,2.0
12366_26995,0.0
12366_26998,0.0
12366_26999,763.0
12366_27000,4359.0
12366_27001,223.0
12366_27002,8.0
12366_27003,1.0
12366_27004,0.0
12366_27005,70.0
12366_27006,4.0
12366_27007,7.0
12366_27008,0.0
12366_27016,4.0
12366_27017,7.0
12366_27038,10.0
12366_27052,6.0
12366_27053,6.0
12366_27054,20.0
12367_26960,0.0
12367_26961,2296.0
12367_26971,0.0
12367_26973,1.0
12367_26993,13.0
12367_26996,0.0
12367_26999,11717.0
12367_27000,2339.0
12367_27001,28.0
12367_27002,4.0
12367_27004,0.0
12367_27006,0.0
12367_27009,0.0
12367_27013,0.0
12367_27015,1.0
12367_27016,2.0
12367_27030,50.0
12367_27035,4.0
12367_27045,0.0
12367_27056,0.0
12368_26958,0.0
12368_26959,364.0
12368_26963,5.0
12368_26964,2.0
12368_26965,0.0
12368_26971,1.0
12368_26972,15.0
12368_26973,0.0
12368_26995,10.0
12368_26999,3530.0
12368_27000,571.0
12368_27001,0.0
12368_27002,0.0
12368_27003,48.0
12368_27004,3.0
12368_27016,2.0
12368_27041,123.0
12368_27042,140.0
12368_27056,1.0
12369_26937,20.0
12369_26964,8.0
12369_26965,63.0
12369_26973,24.0
12369_26995,31.0
12369_26997,79.0
12369_26998,9.0
12369_26999,7.0
12369_27000,21.0
12369_27001,0.0
12369_27002,0.0
12369_27003,0.0
12369_27004,22.0
12369_27015,0.0
12369_27037,4.0
12369_27040,6.0
12369_27041,68.0
12369_27042,34.0
12369_27054,0.0
12370_26948,1.0
12370_26959,0.0
12370_26961,469.0
12370_26962,4.0
12370_26963,31.0
12370_26964,196.0
12370_26970,0.0
12370_26985,15.0
12370_26986,31.0
12370_26993,58.0
12370_26994,49.0
12370_26995,1022.0
12370_26996,0.0
12370_26997,5.0
12370_26998,255.0
12370_26999,186.0
